city,state,ward_id,population,households,organic_waste_tpd,animal_waste_tpd,total_waste_tpd,estimated_biogas_m3_day,estimated_methane_pct,electricity_potential_kwh_day,latitude,longitude,collection_efficiency_pct,digester_capacity_tpd,plant_utilization_pct,recommended_ai_cluster,co2_reduction_tonnes_year
Solapur,Maharashtra,37,1617,1003,13.17,8.89,28.1,937.77,64.47,1436.41,17.71768,75.896729,90.32,26.38,71.24,7,221.1
Solapur,Maharashtra,51,4051,874,15.79,3.68,24.93,168.72,60.77,300.99,17.613995,75.907365,78.08,15.08,84.46,3,855.17
Solapur,Maharashtra,7,7060,1908,14.58,13.5,8.49,132.71,64.89,1660.52,17.678131,75.894481,69.16,43.39,50.49,2,1417.72
Solapur,Maharashtra,21,5789,1412,21.72,15.34,9.37,101.78,60.48,1531.06,17.725458,75.916849,87.84,16.43,89.09,2,1300.68
Solapur,Maharashtra,9,2346,987,3.61,10.05,35.51,291.45,54.41,2255.11,17.724529,75.912992,86.3,18.8,75.1,4,1612.17
Solapur,Maharashtra,39,7816,788,21.25,17.68,23.66,544.14,60.08,1684.99,17.74342,75.851783,76.77,42.54,64.81,4,1322.75
Solapur,Maharashtra,18,7969,1647,21.49,8.38,35.19,1128.13,60.53,970.27,17.704741,75.904116,61.17,18.9,61.55,5,642.12
Solapur,Maharashtra,4,10833,793,8.91,9.48,16.75,591.91,55.58,2420.63,17.631166,75.858849,65.04,23.46,87.72,6,578.46
Solapur,Maharashtra,25,11502,1967,12.91,17.81,25.73,405.09,50.27,2033.81,17.603042,75.852638,84.54,20.64,50.29,5,2188.52
Solapur,Maharashtra,14,10415,1937,12.37,4.55,22.38,709.37,60.55,1631.48,17.671912,75.92912,87.24,10.24,55.58,6,721.84
Solapur,Maharashtra,50,1724,318,7.42,16.99,14.81,205.37,50.33,838.37,17.677056,75.875865,66.17,6.75,55.39,3,760.63
Solapur,Maharashtra,9,5708,2744,11.43,1.25,20.39,762.65,59.47,1027.82,17.636039,75.884066,69.72,37.6,54.45,5,1061.53
Solapur,Maharashtra,26,7783,1300,3.5,8.31,21.59,716.64,52.45,1724.43,17.618705,75.856408,58.11,34.03,63.43,5,437.92
Solapur,Maharashtra,2,3548,1150,8.75,1.73,10.43,967.03,58.48,319.15,17.687931,75.86795,83.54,17.71,89.46,1,1276.58
Solapur,Maharashtra,20,7733,1688,20.88,13.26,14.66,1185.09,57.56,753.2,17.714638,75.92656,55.14,18.3,84.44,2,1636.27
Solapur,Maharashtra,28,11265,1654,8.9,11.15,32.28,360.98,50.2,1827.67,17.748973,75.899353,56.86,47.53,56.4,4,1912.08
Solapur,Maharashtra,47,3328,1667,20.91,12.87,36.88,650.82,55.44,1278.04,17.713745,75.938067,55.17,49.45,61.14,5,1742.12
Solapur,Maharashtra,7,3417,1121,14.46,7.05,16.31,1097.93,59.02,1095.62,17.719045,75.889724,80.81,26.3,73.47,4,456.61
Solapur,Maharashtra,44,5734,754,22.3,6.97,14.36,959.41,62.73,505.93,17.692469,75.87687,71.7,41.11,40.86,6,1159.83
Solapur,Maharashtra,8,8488,1924,15.43,1.29,10.22,625.9,63.33,1188.35,17.747888,75.88476,66.9,38.15,81.01,5,207.98
Solapur,Maharashtra,47,3526,1010,3.17,6.62,28.1,1138.82,57.26,1961.13,17.695993,75.921277,91.51,18.38,83.99,6,160.58
Solapur,Maharashtra,35,5244,2490,17.7,16.76,14.95,144.11,60.93,770.43,17.729038,75.905501,62.71,7.64,82.86,5,1123.5
Solapur,Maharashtra,14,10593,1216,3.51,7.14,39.55,1122.72,54.75,162.69,17.741868,75.940419,70.57,11.42,58.75,7,696.75
Solapur,Maharashtra,17,11731,1796,12.64,15.05,15.05,136.57,55.13,1720.99,17.739479,75.910217,92.61,42.72,63.1,3,1678.06
Solapur,Maharashtra,36,1509,1740,23.41,15.24,17.58,692.98,52.92,2435.67,17.657212,75.899302,72.08,37.9,40.62,1,1771.27
Solapur,Maharashtra,50,1760,604,6.22,7.03,25.32,1077.29,58.43,1576.04,17.611799,75.928575,77.19,34.9,59.97,6,2161.52
Solapur,Maharashtra,40,7538,1035,11.27,11.56,32.66,374.25,54.72,431.82,17.625781,75.944753,58.21,10.88,63.02,2,1854.36
Solapur,Maharashtra,4,11365,2638,18.92,2.17,20.37,608.92,51.27,903.72,17.608883,75.885585,86.61,33.8,85.35,2,230.0
Solapur,Maharashtra,2,3719,2263,22.35,2.31,18.64,443.25,60.28,2188.96,17.61581,75.874988,71.91,39.75,84.7,3,967.3
Solapur,Maharashtra,6,8541,2449,17.6,1.35,39.84,1146.4,60.62,696.53,17.627698,75.911622,87.02,43.73,88.3,3,742.49
Solapur,Maharashtra,42,3560,2309,8.31,10.67,3.39,1002.48,55.4,1578.09,17.651164,75.899887,65.15,5.6,84.26,7,1000.38
Solapur,Maharashtra,4,6787,1261,17.68,7.96,36.12,874.08,51.15,1096.28,17.681531,75.948919,71.9,35.8,40.41,2,484.97
Solapur,Maharashtra,29,3119,1326,9.18,10.09,8.52,738.14,56.39,638.43,17.706752,75.896236,86.46,5.86,72.07,6,342.77
Solapur,Maharashtra,18,10012,2432,18.66,9.62,32.08,999.06,56.64,2061.51,17.631639,75.857433,93.96,36.81,43.41,2,1307.84
Solapur,Maharashtra,26,2842,2675,23.97,6.63,25.86,519.34,60.03,1895.65,17.700878,75.947737,57.39,33.6,53.63,1,1762.47
Solapur,Maharashtra,44,4332,1773,18.73,12.36,15.65,581.26,54.73,1704.74,17.705639,75.934359,87.5,11.68,68.92,5,1720.36
Solapur,Maharashtra,34,4324,2247,21.91,13.77,35.33,897.6,60.24,705.39,17.683793,75.867825,67.03,39.48,75.03,1,1148.15
Solapur,Maharashtra,10,3494,1477,2.55,0.76,3.48,480.69,63.07,379.96,17.735543,75.940461,77.03,8.08,72.73,7,1310.8
Solapur,Maharashtra,36,11730,964,18.65,4.13,11.39,151.57,53.56,1503.97,17.616649,75.884067,66.6,42.19,42.45,7,1297.23
Solapur,Maharashtra,14,4990,311,21.17,12.98,23.98,163.25,64.68,1451.14,17.626568,75.887711,79.54,16.79,45.18,2,1696.78
Solapur,Maharashtra,31,10810,1456,3.41,7.27,16.01,209.21,55.8,592.7,17.6643,75.940639,69.15,36.0,46.43,5,229.27
Solapur,Maharashtra,48,9484,603,22.11,12.09,25.58,1054.04,54.01,282.18,17.619007,75.903012,68.34,46.57,44.57,2,1738.56
Solapur,Maharashtra,15,3104,2063,8.28,6.57,3.89,608.89,56.32,339.66,17.684944,75.863776,56.52,20.29,48.91,1,1447.42
Solapur,Maharashtra,8,1735,342,17.47,7.34,7.31,878.43,51.42,2483.01,17.65976,75.886906,60.88,27.63,74.42,1,571.69
Solapur,Maharashtra,14,11661,1243,20.51,3.28,7.7,520.06,51.89,1991.42,17.642689,75.92221,91.68,25.84,81.54,6,231.85
Solapur,Maharashtra,23,3408,2690,17.41,5.02,10.0,369.76,56.22,2316.67,17.625498,75.867418,94.93,12.09,60.44,6,367.44
Solapur,Maharashtra,40,10067,1649,4.58,11.09,20.0,468.86,61.44,608.38,17.650301,75.909023,86.22,31.56,74.64,1,1316.3
Solapur,Maharashtra,21,5030,2711,15.92,8.08,30.83,969.48,63.5,2407.34,17.691194,75.919527,66.47,38.44,50.0,5,1849.17
Solapur,Maharashtra,16,6756,1190,14.87,14.05,36.5,780.24,59.97,485.24,17.686368,75.884385,71.1,46.26,88.66,7,883.02
Solapur,Maharashtra,45,4135,2774,22.76,15.42,33.91,1130.16,51.58,1346.34,17.624544,75.919388,84.58,43.29,57.5,6,984.4
Solapur,Maharashtra,18,9662,1304,11.6,9.98,10.28,841.27,60.08,2099.78,17.618738,75.938421,93.74,27.95,82.29,6,2249.85
Solapur,Maharashtra,47,11262,320,9.72,13.77,19.32,718.6,59.53,972.04,17.604002,75.897212,73.22,37.36,87.27,4,605.67
Solapur,Maharashtra,24,4060,706,19.37,5.87,10.38,763.42,62.09,1148.35,17.601864,75.888291,88.18,41.04,83.24,4,356.55
Solapur,Maharashtra,26,6915,1314,11.79,7.76,12.79,1135.46,62.38,451.24,17.731972,75.875116,94.0,27.21,43.35,6,902.98
Solapur,Maharashtra,25,4891,635,17.04,12.97,21.63,962.79,63.02,438.87,17.606763,75.910421,89.94,10.19,72.52,2,1820.7
Solapur,Maharashtra,45,7451,2138,17.05,7.26,5.52,106.93,56.21,1605.99,17.709683,75.937985,64.09,24.71,46.0,5,1547.46
Solapur,Maharashtra,41,6968,1447,22.48,10.8,11.07,678.24,60.47,1737.5,17.730798,75.882466,55.32,42.91,40.28,3,1068.01
Solapur,Maharashtra,29,9507,2746,15.97,3.74,37.61,850.94,54.02,1976.73,17.614709,75.889624,74.68,31.85,42.59,6,2319.64
Solapur,Maharashtra,15,10564,2127,13.8,11.0,20.25,918.54,64.99,1458.2,17.665445,75.890663,76.25,37.6,85.81,4,1795.79
Solapur,Maharashtra,45,10944,1014,5.62,15.58,19.48,318.72,52.63,1667.53,17.744345,75.906081,63.05,13.34,85.42,5,261.04
Solapur,Maharashtra,1,7913,350,5.1,15.7,3.54,1051.24,50.15,181.77,17.725121,75.872841,66.39,48.4,51.29,5,1817.76
Solapur,Maharashtra,25,8441,623,5.97,13.18,12.15,1150.54,52.23,531.1,17.673456,75.932221,85.61,23.18,67.35,4,174.81
Solapur,Maharashtra,7,11006,1088,6.37,13.55,35.05,345.12,61.64,2464.55,17.714386,75.87956,73.81,34.41,87.75,5,1602.74
Solapur,Maharashtra,9,6320,440,16.85,10.26,9.09,1068.53,56.7,328.58,17.725007,75.920536,67.69,5.85,64.84,5,599.9
Solapur,Maharashtra,24,4398,769,19.17,10.73,18.36,188.62,56.71,1745.15,17.652204,75.901322,79.91,10.73,59.68,4,1707.89
Solapur,Maharashtra,1,9046,1086,14.42,2.84,3.53,142.39,64.33,563.79,17.733823,75.90859,81.11,40.19,64.16,1,826.3
Solapur,Maharashtra,44,1577,2125,21.15,8.27,20.7,224.73,63.79,1834.29,17.670571,75.867961,85.78,48.56,79.51,6,2110.45
Solapur,Maharashtra,8,9077,1657,24.8,8.39,3.78,144.67,54.67,1809.08,17.679171,75.923502,61.27,19.4,63.86,2,888.16
Solapur,Maharashtra,24,5727,2216,20.95,17.27,33.33,1026.41,53.14,700.37,17.749956,75.868862,84.66,6.67,79.16,3,1532.91
Solapur,Maharashtra,11,2100,1263,18.13,8.04,33.52,146.14,62.73,783.64,17.726495,75.861347,78.98,21.24,61.58,2,771.91
Solapur,Maharashtra,51,2565,672,14.48,10.11,32.15,384.26,63.59,1688.71,17.654266,75.904668,57.3,5.79,52.6,1,2211.27
Solapur,Maharashtra,17,3636,1992,12.6,9.83,13.48,196.21,58.12,1066.7,17.601552,75.92093,86.1,13.66,56.32,7,1900.67
Solapur,Maharashtra,8,11555,1479,4.4,11.64,33.98,410.87,59.44,607.19,17.693926,75.855004,70.32,38.86,43.89,1,674.73
Solapur,Maharashtra,35,11010,2638,11.49,13.59,23.09,181.43,53.85,1869.45,17.705587,75.85694,68.22,47.17,64.87,5,2283.26
Solapur,Maharashtra,35,8443,1971,22.98,4.44,16.83,828.16,62.01,512.25,17.69762,75.930268,72.92,8.94,47.41,2,934.32
Solapur,Maharashtra,33,9304,405,20.68,9.75,26.14,229.33,59.48,2160.76,17.745179,75.930903,68.85,30.11,80.58,1,1606.25
Solapur,Maharashtra,5,8065,1743,7.36,14.95,3.46,1034.07,57.55,1359.47,17.729446,75.87453,68.53,16.42,61.03,2,1813.71
Solapur,Maharashtra,42,7484,1981,13.0,8.6,8.29,995.25,50.9,398.4,17.667325,75.911523,87.32,11.26,78.25,1,172.22
Solapur,Maharashtra,39,6642,301,20.88,5.37,30.46,95.3,63.74,1781.07,17.609429,75.894318,59.98,14.85,87.72,3,2306.45
Solapur,Maharashtra,41,6170,2437,4.02,11.96,12.03,1083.21,59.23,1370.03,17.671409,75.91327,93.82,31.0,82.47,1,905.33
Solapur,Maharashtra,28,3690,649,11.22,14.92,25.13,112.42,52.89,850.44,17.703387,75.936288,77.2,7.93,87.57,2,552.7
Solapur,Maharashtra,7,10684,1586,21.67,1.6,17.25,348.4,59.1,1142.97,17.691156,75.857986,62.32,24.54,68.4,5,2059.61
Solapur,Maharashtra,9,4212,1362,11.59,14.09,34.63,116.28,60.16,851.09,17.680721,75.927798,60.25,11.09,48.27,2,1722.61
Solapur,Maharashtra,8,3692,2506,4.25,14.88,38.24,456.14,57.89,768.11,17.670323,75.899303,78.66,17.27,86.77,4,317.77
Solapur,Maharashtra,12,2748,2659,14.71,8.58,35.69,655.53,60.77,534.48,17.644064,75.906413,80.32,13.58,83.43,2,386.86
Solapur,Maharashtra,34,5533,744,21.89,17.71,13.01,972.24,58.72,1002.5,17.641602,75.915393,57.12,44.73,83.22,3,1750.64
Solapur,Maharashtra,33,3497,2645,15.78,14.27,10.18,458.54,64.22,739.82,17.675035,75.942262,64.72,36.86,74.66,6,290.51
Solapur,Maharashtra,48,5187,1251,7.59,14.04,20.55,870.15,50.81,1756.07,17.62409,75.855672,86.82,44.08,71.25,3,2211.16
Solapur,Maharashtra,23,11843,335,11.15,13.59,3.27,290.0,51.59,1757.11,17.651103,75.852948,56.98,22.26,40.74,3,1810.71
Solapur,Maharashtra,24,5518,1407,12.63,3.14,3.95,920.67,52.61,1329.32,17.648597,75.867826,89.2,19.1,77.4,1,884.92
Solapur,Maharashtra,37,3470,1775,15.53,4.3,23.47,344.32,60.35,1978.17,17.68807,75.948645,81.33,22.13,44.58,3,947.5
Solapur,Maharashtra,35,9889,2098,19.59,8.62,22.26,240.77,59.68,2127.15,17.610002,75.921508,72.38,5.83,52.99,2,1274.81
Solapur,Maharashtra,44,7265,2145,4.72,5.12,39.8,287.66,63.38,1512.45,17.72445,75.911464,68.86,37.61,67.57,6,943.01
Solapur,Maharashtra,40,2702,1708,22.52,7.77,10.47,283.91,60.99,1604.5,17.684357,75.854704,55.77,20.74,62.59,7,1906.31
Solapur,Maharashtra,22,9635,1495,2.78,16.05,12.55,654.41,57.63,814.78,17.700624,75.937911,88.01,19.1,40.79,5,2342.4
Solapur,Maharashtra,27,7067,1699,10.83,14.93,7.2,1026.17,64.88,2252.94,17.705464,75.931276,60.71,31.92,81.2,7,1452.71
Solapur,Maharashtra,35,9167,2008,3.12,11.53,36.95,169.16,53.99,206.88,17.643723,75.91648,67.38,24.63,83.94,3,1136.97
Solapur,Maharashtra,1,7242,1685,11.34,15.52,31.78,871.79,62.5,969.22,17.670556,75.883913,77.76,49.14,74.09,2,627.93
Solapur,Maharashtra,35,7288,2488,14.33,14.22,33.43,812.87,56.4,1846.23,17.743437,75.85705,64.84,21.03,67.05,1,1609.83
Solapur,Maharashtra,37,6908,1600,14.01,8.01,36.4,1057.22,59.73,338.21,17.715006,75.908004,74.89,32.63,88.04,1,1683.12
Solapur,Maharashtra,47,11727,1543,6.23,4.02,22.42,353.45,60.91,580.45,17.745434,75.921969,87.37,19.02,46.0,5,1682.23
Solapur,Maharashtra,14,10169,820,17.03,9.5,19.69,584.12,59.51,1534.82,17.711938,75.859424,73.82,49.58,76.9,5,181.53
Solapur,Maharashtra,3,10946,2106,3.51,13.38,15.22,1116.93,52.11,1465.99,17.62634,75.913377,92.96,25.03,46.42,2,2170.0
Solapur,Maharashtra,1,2422,309,19.64,8.14,24.8,819.19,56.64,1886.48,17.60968,75.878637,88.9,33.54,59.09,5,890.88
Solapur,Maharashtra,5,1919,1283,23.8,12.17,19.81,515.42,58.42,2059.64,17.686649,75.926424,68.32,10.7,69.27,5,1816.7
Solapur,Maharashtra,26,3704,2725,10.14,2.15,19.71,227.18,62.74,452.16,17.653672,75.903962,71.0,37.99,76.85,1,1852.36
Solapur,Maharashtra,14,2620,1956,14.14,13.59,37.67,373.98,56.65,193.2,17.641319,75.862904,71.93,17.11,40.19,2,1603.27
Solapur,Maharashtra,39,2450,1960,11.03,14.72,39.41,730.96,63.78,1770.65,17.721082,75.902652,80.05,25.19,53.03,6,1020.3
Solapur,Maharashtra,27,3836,2499,2.65,12.87,32.47,884.35,56.61,858.27,17.655049,75.889574,66.47,44.74,66.91,5,1507.12
Solapur,Maharashtra,9,6873,1019,11.18,17.43,31.0,219.35,58.23,1621.06,17.64755,75.868036,93.77,48.67,66.64,2,211.65
Solapur,Maharashtra,15,3743,1372,20.31,14.97,28.18,751.55,61.94,503.78,17.727498,75.934152,79.35,24.11,71.88,3,1857.12
Solapur,Maharashtra,15,4145,1158,15.91,16.3,9.14,696.39,58.75,1252.24,17.726943,75.851103,70.98,42.57,55.19,1,347.06
Solapur,Maharashtra,26,11549,1616,4.78,16.84,5.19,655.63,64.4,1335.4,17.653455,75.881213,80.8,7.4,67.03,6,1024.59
Solapur,Maharashtra,42,6112,1903,21.56,14.52,28.56,852.94,59.91,1524.93,17.724875,75.85126,70.82,43.14,49.49,1,356.25
Solapur,Maharashtra,13,3365,349,14.45,12.3,29.97,1017.94,57.84,1355.95,17.727617,75.859601,87.71,33.33,49.34,1,2028.53
Solapur,Maharashtra,51,7528,445,21.44,0.6,4.74,441.75,50.35,1314.87,17.66359,75.87971,77.71,26.99,68.83,4,1374.69
Solapur,Maharashtra,32,8826,1214,15.55,8.65,37.34,1075.69,56.21,931.93,17.609971,75.855427,56.68,45.05,74.27,2,1695.38
Solapur,Maharashtra,39,7871,1762,15.09,10.5,6.37,259.91,54.49,317.27,17.600238,75.909663,62.07,43.04,46.02,3,1676.29
Solapur,Maharashtra,49,7859,2589,4.87,5.82,13.58,273.79,61.22,360.37,17.678494,75.858686,89.6,18.36,46.14,5,2038.86
Solapur,Maharashtra,32,9363,880,6.27,6.07,27.88,378.78,53.12,1169.38,17.651611,75.920171,77.52,40.62,68.27,3,422.26
Solapur,Maharashtra,4,4728,1884,24.37,17.32,9.29,213.87,53.08,986.11,17.74957,75.855264,93.01,9.48,53.5,2,1624.18
Solapur,Maharashtra,30,5219,782,7.64,16.1,5.05,337.96,52.84,1362.92,17.715862,75.855931,57.9,42.02,59.62,1,1431.31
Solapur,Maharashtra,37,3871,1549,24.49,15.36,15.25,199.18,51.88,866.37,17.714191,75.880533,66.81,35.4,60.04,4,190.45
Solapur,Maharashtra,23,4391,972,14.47,7.61,31.34,1000.36,54.67,1766.59,17.743286,75.939657,62.74,8.95,48.93,2,579.24
Solapur,Maharashtra,39,5256,930,5.56,0.74,18.31,235.65,63.29,2180.29,17.733159,75.914139,77.15,35.74,40.07,6,730.06
Solapur,Maharashtra,45,5725,961,4.73,1.9,27.16,916.97,61.62,852.33,17.647728,75.927013,70.31,31.12,82.66,6,285.43
Solapur,Maharashtra,15,1594,2766,7.2,5.96,24.45,133.66,61.03,603.51,17.624898,75.864155,61.29,31.75,75.75,2,928.76
Solapur,Maharashtra,43,4174,1287,23.33,0.78,3.82,1142.34,61.96,423.02,17.711884,75.933413,80.71,18.09,74.53,5,182.02
Solapur,Maharashtra,29,8398,1846,11.82,0.8,39.58,876.5,54.04,1598.2,17.656741,75.850815,76.45,16.99,67.33,3,1381.26
Solapur,Maharashtra,36,11647,949,11.4,16.54,4.53,87.61,63.31,1193.06,17.670976,75.871306,65.99,39.31,75.05,3,602.22
Solapur,Maharashtra,13,2293,1268,9.55,12.86,38.81,935.52,52.06,591.84,17.69456,75.911609,74.19,16.56,86.78,5,774.37
Solapur,Maharashtra,32,11526,1400,5.81,5.91,23.34,655.77,55.05,1684.87,17.736181,75.887525,84.83,25.08,73.28,4,2195.88
Solapur,Maharashtra,7,3616,740,13.48,2.82,38.64,952.89,58.8,498.94,17.662863,75.948419,63.21,36.27,53.25,1,1266.42
Solapur,Maharashtra,51,7279,1220,5.43,9.45,7.25,665.2,51.54,1452.61,17.717498,75.853034,66.72,8.58,68.53,7,733.35
Solapur,Maharashtra,22,7666,1069,21.3,0.59,21.15,797.95,60.95,1388.8,17.640251,75.94986,68.84,31.75,62.12,7,1484.49
Solapur,Maharashtra,28,2314,1643,10.83,16.92,9.27,960.69,55.81,1875.44,17.704696,75.912363,84.87,31.52,67.82,1,579.81
Solapur,Maharashtra,2,1845,2126,10.93,7.76,4.89,533.72,61.77,279.51,17.600237,75.905871,88.88,35.79,65.88,6,289.62
Solapur,Maharashtra,42,10054,562,13.17,7.54,25.85,83.03,57.39,2236.5,17.730726,75.855951,70.06,21.65,82.94,4,167.67
Solapur,Maharashtra,45,3943,1877,12.49,7.34,10.69,1031.94,52.71,1802.03,17.604557,75.877333,66.86,25.2,72.59,5,2289.49
Solapur,Maharashtra,6,11957,1298,24.88,1.71,24.74,506.6,61.02,657.9,17.706913,75.942466,90.58,19.85,49.44,7,1772.11
Solapur,Maharashtra,28,11880,999,14.77,11.67,7.16,635.57,53.78,581.0,17.606939,75.885425,94.97,41.37,43.15,2,1943.88
Solapur,Maharashtra,28,9283,2649,4.48,13.33,15.28,88.7,57.36,1164.4,17.639937,75.916165,81.81,10.88,61.22,3,2356.49
Solapur,Maharashtra,44,2484,1903,16.15,12.33,31.92,631.14,51.13,2071.28,17.67458,75.94995,94.6,48.33,40.78,2,2244.11
Solapur,Maharashtra,44,9290,1541,5.91,2.92,19.17,1184.87,59.27,2130.93,17.662991,75.876307,81.4,33.57,55.91,3,1800.16
Solapur,Maharashtra,20,11331,1425,3.2,10.63,26.23,391.66,59.99,1373.07,17.628775,75.907608,84.34,44.91,58.4,2,1702.29
Solapur,Maharashtra,30,2327,2635,24.34,10.47,26.96,522.87,55.68,2172.91,17.650072,75.919644,70.55,24.18,58.78,5,888.02
Solapur,Maharashtra,11,5031,1490,19.9,15.7,34.22,849.65,64.32,162.79,17.709156,75.866463,72.32,19.95,88.97,5,357.16
Solapur,Maharashtra,28,8647,1305,24.55,7.13,15.02,992.57,63.11,232.66,17.700389,75.864867,60.77,45.53,55.2,4,1428.09
